;0.7;0.68;0.66;0.64;0.62;0.6;0.58;0.56;0.54;0.52;0.5;0.48;0.46;0.44;0.42;0.4;0.38;0.36;0.34;0.32
3800;406.1417764;448.3012892;496.2983905;551.15674;614.1197806;686.7071705;770.7882456;868.6784783;983.2672955;1118.189119;1278.054659;1468.76725;1697.960789;1975.614068;2314.92497;2733.57394;3255.581466;3914.090272;4755.619384;5846.719025
3750;470.5855385;519.4346306;575.0475793;638.6104714;711.564051;795.6691048;893.0915821;1006.514358;1139.285335;1295.615618;1480.847514;1701.821057;1967.381438;2289.090816;2682.241219;3167.318507;3772.154569;4535.150988;5510.208107;6774.435877
3700;546.3337763;603.0459078;667.6106464;741.4049984;826.1016185;923.7447204;1036.848897;1168.528876;1322.671456;1504.165588;1719.213507;1975.756262;2284.062817;2657.556443;3113.990665;3677.148869;4379.342929;5265.155774;6397.163867;7864.889232
3650;635.5642343;701.5389259;776.6487589;862.4956402;961.0254124;1074.616162;1206.193181;1359.379911;1538.697967;1749.834792;2000.005608;2298.44844;2657.109441;3091.604252;3622.586006;4277.722533;5094.603072;6125.092101;7441.98644;9149.429378
3600;740.9128095;817.8232011;905.3829383;1005.459454;1120.321125;1252.740222;1406.126919;1584.705266;1793.746363;2039.880381;2331.518506;2679.430024;3097.541232;3604.056157;4223.051315;4986.780641;5939.064019;7140.362771;8675.540227;10666.00205
3550;865.5783047;955.4295875;1057.722068;1174.637391;1308.825611;1463.525456;1642.720896;1851.346718;2095.56093;2383.109293;2723.818255;3130.269133;3618.731454;4210.472243;4933.619114;5825.853027;6938.36697;8341.795449;10135.28084;12460.65644
3500;1013.453104;1118.654518;1238.422575;1375.311632;1532.424474;1713.553134;1923.3622;2167.629512;2453.565112;2790.238039;3189.153485;3665.042149;4236.953036;4929.786413;5776.475195;6821.137734;8123.712791;9766.902022;11866.78522;14589.42638
3450;1189.28669;1312.740495;1453.288247;1613.927484;1798.299323;2010.85371;2257.06454;2543.712104;2879.257382;3274.342885;3742.469953;4300.925053;4972.062181;5785.101788;6778.690633;8004.601578;9533.17273;11461.45444;13925.66627;17120.68426
3400;1398.890898;1544.10265;1709.421049;1898.371928;2115.23813;2365.253875;2654.857796;2992.025168;3386.708165;3851.424974;4402.056457;5058.935713;5848.356488;6804.689149;7973.391703;9415.361647;11213.33373;13481.46281;16379.9763;20138.09587
3350;1649.398413;1820.614076;2015.537001;2238.324411;2494.026103;2788.81362;3130.278596;3527.824487;3993.18566;4541.122006;5190.358266;5964.868705;6895.655641;8023.244344;9401.23325;11101.42512;13221.37051;15895.66664;19313.23376;23744.34162
3300;1949.589406;2151.96637;2382.365323;2645.700107;2947.939582;3296.378512;3699.990214;4169.889573;4719.946615;5367.607536;6135.004985;7050.47655;8150.666979;9483.477156;11112.26044;13121.88774;15627.6638;18788.6826;22828.24794;28065.81872
3250;2310.305692;2550.126779;2823.154532;3135.211957;3493.372284;3906.279967;4384.568579;4941.409503;5593.239017;6360.731242;7270.113848;8354.96749;9658.716989;11238.12593;13168.26942;15549.72131;18519.12025;22264.99602;27051.96848;33258.60335
3200;2744.977752;3029.919935;3354.316447;3725.085861;4150.6322;4641.226327;5209.502465;5871.110127;6645.577991;7557.469906;8637.948143;9926.911383;11475.9546;13352.52116;15645.81116;18475.3209;22003.39688;26454.03979;32141.65635;39516.03745
3150;3270.297807;3609.770795;3996.248681;4437.974084;4944.959343;5529.440911;6206.470883;6994.693696;7917.375329;9003.780539;10291.03527;11826.67383;13672.16516;15907.8596;18640.02792;22011.03502;26214.29646;31516.68106;38292.76511;47078.41823
3100;3907.082706;4312.657097;4774.389072;5302.126234;5907.830502;6606.120981;7414.980679;8356.684433;9459.028521;10756.97607;12294.88209;14129.53667;16334.37784;19005.40159;22269.57147;26296.97335;31318.68423;37653.53702;45749.04463;56245.42
3050;4681.384441;5167.335157;5720.572713;6352.896296;7078.638428;7915.315415;8884.474117;10012.80378;11333.60931;12888.7828;14731.4695;16929.71408;19571.50847;22771.87302;26682.93282;31508.48117;37525.38967;45115.67724;54815.54444;67392.08096
3000;5625.925128;6209.92381;6874.785478;7634.689986;8506.861658;9512.350984;10677.05223;12033.0396;13620.33779;15489.29124;17703.76808;20345.54202;23520.35871;27366.44561;32066.62135;37865.79765;45096.70919;54218.453;65875.41629;80989.46081
2950;6781.95897;7485.959648;8287.439307;9203.491525;10254.87994;11466.98056;12871.0085;14505.62868;16419.09019;18672.08242;21341.59734;24526.21179;28353.4004;32989.79404;38655.77756;45646.58793;54363.33126;65359.44139;79411.71635;97631.4451
2900;8201.69861;9053.075242;10022.33717;11130.15634;12401.64308;13867.48563;15565.43367;17542.24629;19856.27306;22580.90813;25809.26102;29660.5447;34288.91942;39895.89868;46748.00282;55202.27391;65743.78589;79041.82876;96035.81597;118069.6744
2850;9951.491001;10984.50468;12160.55391;13504.72091;15047.47314;16826.04604;18886.24302;21284.79896;24092.51205;27398.43473;31315.54096;35988.47722;41604.29311;48407.49405;56721.46118;66979.40978;79769.90191;95905.01736;116524.5888;143259.2635
2800;12115.99342;13373.69309;14805.5393;16442.06979;18320.37887;20485.80087;22994.1017;25914.35636;29332.76204;33357.74054;38126.83829;43816.16313;50653.44895;58936.38242;69058.68178;81547.78895;97120.28141;116764.8706;141869.3089;174418.9181
2750;14803.69065;16340.3865;18089.85992;20089.42284;22384.39821;25030.17692;28094.89544;31662.95174;35839.66416;40757.50578;46584.535;53535.92579;61889.93034;72010.27132;84378.0057;99637.57813;118664.5248;142666.8836;173340.2528;213110.359
