;0.74;0.725;0.71;0.695;0.68;0.665;0.65;0.635;0.62;0.605;0.59;0.575;0.56;0.545;0.53;0.515;0.5;0.485;0.47;0.455;0.44;0.425
280;2578.506948;2374.226377;2182.360506;2002.393384;1833.820171;1676.147133;1528.891632;1391.582121;1263.758134;1144.97028;1034.780233;932.7607259;838.4955399;751.5794974;671.6184524;598.2292813;531.039874;469.6891237;413.8269175;363.1141256;317.2225913;275.83512
270;2850.060259;2624.26605;2412.193985;2213.273775;2026.947415;1852.669172;1689.90558;1538.135433;1396.849769;1265.551871;1143.757251;1030.993645;926.8009993;830.7314662;742.3493903;661.2312998;586.965896;519.1540426;457.4087546;401.3551872;350.6306243;304.8844659
260;3162.140282;2911.621732;2676.327893;2455.62603;2248.897036;2055.535422;1874.949307;1706.560412;1549.804047;1404.129101;1268.998038;1143.886879;1028.285196;921.6961025;823.6362381;733.6357616;651.2383371;576.0011232;507.4947603;445.3033584;389.0244838;338.2691463
250;3522.721888;3243.63649;2981.51189;2735.643201;2505.34072;2289.929913;2088.751407;1901.16098;1726.52955;1564.243164;1413.702988;1274.325294;1145.541451;1026.79791;917.5561945;817.2928853;725.4996109;641.6830321;565.3648291;496.0816875;433.3852839;376.8422712
240;3941.760895;3629.477399;3336.172241;3061.056688;2803.358992;2562.324382;2337.215051;2127.310144;1931.905748;1750.314879;1581.867468;1425.910354;1281.807262;1148.938798;1026.702431;914.5124815;811.8001043;718.013276;632.6167793;555.0921869;484.9378461;421.6688616
230;4431.797548;4080.691209;3750.922582;3441.604877;3151.870404;2880.870559;2627.77581;2391.775688;2172.07877;1967.912664;1778.524003;1603.178421;1441.160545;1291.773976;1154.34128;1028.203963;912.7224626;807.2761287;711.2632058;624.1008164;545.2249424;474.0904069
220;5008.780957;4611.963476;4239.261699;3889.673385;3562.217879;3255.936093;2969.890501;2703.165113;2454.865472;2224.118628;2010.073128;1811.899;1628.787736;1459.952271;1304.626973;1162.06762;1031.551383;912.376808;803.8637962;705.3535841;616.2087233;535.8130593
210;5693.210351;5242.169387;4818.53944;4421.181316;4048.980356;3700.846419;3375.713868;3072.54155;2790.31278;2528.035325;2284.741385;2059.487574;1851.354906;1659.448767;1482.898903;1320.859399;1172.508653;1037.04936;913.7084901;801.7372612;700.4111205;609.0297184
200;6511.737673;5995.849403;5511.313101;5056.82579;4631.112552;4232.926515;3861.048831;3514.288658;3191.48314;2891.497388;2613.22446;2355.585337;2117.528906;1898.031933;1696.099047;1510.762711;1341.083202;1186.148583;1045.074682;917.0050649;801.1110073;696.5914688
190;7499.453568;6905.314136;6347.282213;5823.857182;5333.570745;4874.986901;4446.701923;4047.34434;3675.574912;3330.086606;3009.604577;2712.886137;2438.720739;2185.929942;1953.367395;1739.918802;1544.501899;1366.066428;1203.594101;1056.098579;922.6254349;802.2521236
180;8703.204756;8013.698902;7366.096241;6758.655289;6189.672068;5657.480081;5160.450287;4696.991079;4265.548251;3864.604977;3492.681783;3148.336518;2830.164323;2536.797607;2266.906015;2019.196392;1792.412761;1585.336281;1396.785221;1225.614919;1070.717753;931.0230984
170;10186.50026;9379.481267;8621.507066;7910.539372;7244.583796;6621.68982;6039.950764;5497.503759;4992.529717;4523.253298;4087.942879;3684.91052;3312.511934;2969.146449;2653.256974;2363.329964;2097.895381;1855.526659;1634.840661;1434.497642;1253.201203;1089.698255
160;12036.9217;11083.30424;10187.64078;9347.522753;8560.593493;7824.548156;7137.133707;6496.148879;5899.444139;5344.921647;4830.535224;4354.29031;3914.243925;3508.504627;3135.232475;2792.638981;2478.987069;2192.59103;1931.816474;1695.080286;1480.850573;1287.646614
150;14377.58093;13238.52624;12168.69508;11165.21053;10225.25766;9346.083427;8524.99668;7759.368102;7046.630168;6384.277101;5769.864828;5201.010932;4675.39461;4190.756616;3744.899218;3335.686148;2961.042541;2618.954893;2307.470997;2024.699888;1768.811786;1538.038036
140;17385.30799;16007.96804;14714.33287;13500.92375;12364.33685;11301.24321;10308.38871;9382.593979;8520.754386;7719.839954;6976.895319;6289.039677;5653.466718;5067.444574;4528.315759;4033.497103;3580.479693;3166.828805;2790.183839;2448.258251;2138.839477;1859.788867
130;21320.39348;19631.29889;18044.85528;16556.79651;15162.94833;13859.22827;12641.64566;11506.3015;10449.38843;9467.190658;8556.083881;7712.535239;6933.103227;6214.437634;5553.279461;4946.46085;4390.905007;3883.626119;3421.729276;3002.410384;2622.956077;2280.743629
120;26576.90228;24471.36413;22493.78539;20638.84813;18901.34891;17276.19877;15758.42312;14343.16168;13025.66839;11801.31133;10665.57263;9614.048427;8642.448704;7746.597262;6922.431602;6166.002836;5473.475591;4841.127908;4265.351139;3742.649847;3269.641689;2843.057311
110;33771.17121;31095.67168;28582.76971;26225.70781;24017.87399;21952.80173;20024.16984;18225.80237;16551.66853;14995.88255;13552.70361;12216.5357;10981.92753;9843.572423;8796.308174;7835.116946;6955.125143;6151.603286;5419.965881;4755.771286;4154.721573;3612.662386
100;43904.69651;40426.3749;37159.44058;34095.10837;31224.78228;28540.05541;26032.7098;23694.71633;21518.23457;19495.61264;17619.38711;15882.28282;14277.21273;12797.27781;11435.76687;10186.1564;9042.110406;7997.480267;7046.304543;6182.808813;5401.405495;4696.693658
90;58680.42951;54031.50985;49665.11801;45569.5122;41733.20353;38144.95584;34793.78549;31668.96122;28760.00398;26056.68674;23549.03429;21227.32307;19082.08099;17104.08721;15284.37194;13614.21624;12085.1518;10688.96073;9417.675325;8263.57783;7219.200213;6277.323909
