;0.74;0.725;0.71;0.695;0.68;0.665;0.65;0.635;0.62;0.605;0.59;0.575;0.56;0.545;0.53;0.515;0.5;0.485;0.47;0.455;0.44;0.425
4600;144720.1686;155178.2197;166634.9138;179209.8291;193039.8928;208282.358;225118.3742;243757.287;264441.8374;287454.4768;313125.0735;341840.3613;374055.5835;410308.9211;451239.4682;497609.7635;550334.2065;610515.1355;679488.9545;758885.5454;850705.4009;957420.6066
4470;121194.6994;129952.7071;139547.0201;150077.7781;161659.6497;174424.3252;188523.5067;204132.509;221454.6133;240726.3564;262223.9838;286271.3622;313249.7317;343609.7872;377886.7328;416719.1503;460872.7957;511270.8133;569032.3633;635522.3768;712416.1497;801783.9095
4340;100963.4326;108259.4491;116252.1648;125025.0029;134673.4902;145307.3336;157052.9113;170056.2725;184486.7643;200541.4378;218450.4245;238483.5273;260958.3451;286250.3375;314805.366;347155.4125;383938.4041;425923.3827;474042.6849;529433.3911;593491.1371;667940.5631
4210;83643.49431;89687.90363;96309.49572;103577.3829;111570.7045;120380.3477;130111.011;140883.6892;152838.6785;166139.2266;180975.9867;197572.4779;216191.816;237145.0519;260801.5611;287602.0656;318075.0583;352857.6545;392722.2518;438610.8681;491679.7226;553357.5991
4080;68886.8693;73864.9066;79318.29843;85303.96411;91887.08103;99142.50174;107156.4535;116028.5849;125874.4407;136828.4681;149047.6844;162716.175;178050.6362;195307.2421;214790.2021;236862.4848;261959.3448;290605.4957;323437.0665;361229.8816;404936.1766;455732.6654
3950;56378.15803;60452.26644;64915.4129;69814.18111;75201.91334;81139.87017;87698.6214;94959.72109;103017.733;111982.691;121983.1005;133169.6203;145719.598;159842.691;175787.869;193852.1918;214391.8789;237836.3646;264706.2674;295636.535;331406.4929;372979.183
3820;45832.4138;49144.44507;52772.74338;56755.17877;61135.11564;65962.35555;71294.26796;77197.15194;83747.88276;91035.91195;99165.70771;108259.7473;118462.205;129943.5209;142906.0941;157591.418;174289.0802;193348.1877;215191.9752;240336.6212;269415.6753;303212.0391
3690;36993.06043;39666.32511;42594.86078;45809.23377;49344.44512;53240.69152;57544.27804;62308.71712;67596.0577;73478.49944;80040.36256;87380.50308;95615.28939;104882.2901;115344.8692;127197.945;140675.2545;156058.5751;173689.5154;193984.7024;217455.4978;244733.8107
3560;29629.88981;31771.06269;34116.69693;36691.27488;39522.83089;42643.56084;46090.55313;49906.66901;54141.60704;58853.19615;64108.97329;69988.11798;76583.83642;84006.31532;92386.4023;101880.2189;112674.9785;124996.3731;139118.0168;155373.6103;174172.733;196021.5175
3430;23537.1388;25238.02543;27101.33032;29146.50156;31395.80884;33874.82764;36613.01994;39644.43348;43008.54738;46751.2993;50926.33865;55596.56339;60836.01388;66732.21927;73389.1212;80930.73814;89505.7871;99293.55127;110511.382;123424.3615;138357.848;155713.8989
3300;18531.64497;19870.81485;21337.86252;22948.10018;24719.06157;26670.88319;28826.76152;31213.50359;33862.19276;36808.99739;40096.15764;43773.19535;47898.40518;52540.70201;57781.92289;63719.71206;70471.15981;78177.42234;87009.62823;97176.48643;108934.1632;122599.213
3170;14451.08068;15495.37285;16639.38486;17895.05722;19276.06284;20798.10428;22479.2703;24340.46515;26405.92782;28703.8626;31267.20859;34134.58322;37351.44498;40971.53408;45058.66751;49688.98881;54953.80563;60963.19237;67850.59605;75778.7691;84947.47138;95603.55381
3040;11152.26484;11958.17155;12841.03458;13810.06873;14875.82573;16050.42365;17347.82203;18784.15322;20378.12305;22151.4975;24129.6965;26342.5221;28825.05576;31618.77018;34772.91453;38346.25071;42409.24315;47046.83904;52362.02284;58480.3947;65556.11439;73779.683
2910;8509.551985;9124.485827;9798.139918;10537.54547;11350.75379;12247.01138;13236.96985;14332.9387;15549.19113;16902.33529;18411.76746;20100.22758;21994.484;24126.18177;26532.89966;29259.47497;32359.67442;35898.31558;39953.97903;44622.5019;50021.51326;56296.37182
2780;6413.297911;6876.748153;7384.453422;7941.712847;8554.594379;9230.066715;9976.157525;10802.14399;11718.78322;12738.59209;13876.18878;15148.71145;16576.33428;18182.90686;19996.75074;22051.65795;24388.15025;27055.07795;30111.66401;33630.1369;37699.1488;42428.25057
2650;4768.401314;5112.98483;5490.472747;5904.805062;6360.493406;6862.719128;7417.450944;8031.586605;8713.124208;9471.370285;10317.1937;11263.33699;12324.80001;13519.31536;14867.94062;16395.80076;18133.02443;20115.93271;22388.55893;25004.60624;28029.98912;31546.16058
2520;3492.920857;3745.333117;4021.848311;4325.352545;4659.15065;5027.038037;5433.386874;5883.249861;6382.485717;6937.911605;7557.489123;8250.552352;9028.08891;9903.088159;10890.97508;12010.15407;13282.69478;14735.20292;16399.9335;18316.22486;20532.36025;23108.00518
2390;2516.766974;2698.638498;2897.876997;3116.562007;3357.07477;3622.150008;3914.938014;4239.079429;4598.795656;4998.998693;5445.425136;5944.800506;6505.041751;7135.508144;7847.313902;8653.720009;9570.628399;10617.20937;11816.70376;13197.45614;14794.25624;16650.09505
2260;1780.467746;1909.131379;2050.081147;2204.788202;2374.937136;2562.462606;2769.593265;2998.904655;3253.383178;3536.503787;3852.324795;4205.604121;4601.942549;5047.961226;5551.522822;6122.008719;6770.668619;7511.064406;8359.637629;9336.440452;10466.0846;11778.98371
2130;1234.008159;1323.182463;1420.872053;1528.096555;1646.023529;1775.993847;1919.552147;2078.483488;2254.857688;2451.083169;2669.972673;2914.82382;3189.518408;3498.645427;3847.654343;4243.047212;4692.620989;5205.775155;5793.905035;6470.908398;7253.84316;8163.788441
